writer,food,time
n01,잡채,2024-09-15 06:53:09
n01,잡채,2024-09-15 06:53:11
n01,잡채,2024-09-15 06:53:13
n01,잡채,2024-09-15 06:53:13
n01,잡채,2024-09-15 06:53:13
n01,송편,2024-09-15 07:15:05
n01,송편,2024-09-15 07:15:05
n01,송편,2024-09-15 07:15:05
n01,송편,2024-09-15 07:15:06
n01,송편,2024-09-15 07:15:06
n01,송편,2024-09-15 07:15:10
n01,송편,2024-09-15 07:15:10
n01,송편,2024-09-15 07:15:10
n01,송편,2024-09-15 07:15:10
n11,피자,2024-09-15 13:25:31
n04,피자,2024-09-15 13:26:01
n04,피자,2024-09-15 13:26:01
n04,송편,2024-09-15 13:26:06
n04,송편,2024-09-15 13:26:06
n05,잡채,2024-09-15 13:26:12
n05,잡채,2024-09-15 13:26:12
n05,잡채,2024-09-15 13:26:12
